Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,12/5/2017
Test time,18:18:38
Device ID,
Count,5
Flags,
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU",0,1,0.05,0,5,5,0.2,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
0,6.65E-11,-1.46E-11,-4.44E-11,1503759398496.24,5
0.05,3.67E-11,-4.2058E-09,4.142E-09,2724795640326.98,5
0.1,-1.081E-10,-8.4735E-09,8.286E-09,-925069380203.515,5
0.15,4.81E-11,-1.27404E-08,1.21323E-08,2079002079002.08,5
0.2,1.819E-10,-1.68459E-08,1.67939E-08,549752611324.904,5
0.25,5.601E-10,-2.1358E-08,2.09737E-08,178539546509.552,5
0.3,3.3937E-09,-2.83398E-08,2.52877E-08,29466364145.3281,5
0.35,2.31782E-08,-5.24593E-08,2.94299E-08,4314398874.80477,5
0.4,1.6119E-07,-1.95049E-07,3.38798E-08,620385880.017371,5
0.45,1.091508E-06,-1.1318E-06,4.0028E-08,91616369.279932,5
0.5,6.27556E-06,-6.3304E-06,5.462E-08,15934832.9073421,5
0.55,2.30447E-05,-2.31376E-05,9.1679E-08,4339392.5718278,5
0.6,5.22655E-05,-5.24144E-05,1.51977E-07,1913308.01389062,5
0.65,8.89838E-05,-8.92075E-05,2.25674E-07,1123800.06248328,5
0.7,0.000129859,-0.00013014,3.06526E-07,770065.994655742,5
0.75,0.000172945,-0.000173309,3.91301E-07,578218.508774466,5
0.8,0.000217512,-0.000217959,4.78639E-07,459744.749714958,5
0.85,0.000263171,-0.000263708,5.67799E-07,379981.076942368,5
0.9,0.000309486,-0.000310116,6.58271E-07,323116.392987082,5
0.95,0.000356379,-0.000357097,7.49768E-07,280600.147595678,5
1,0.000403705,-0.000404521,8.42147E-07,247705.626633309,5
Setup title,vfet-test
Application test name,"TFT Id-Vg-tian"
Test date,12/5/2017
Test time,18:18:24
Device ID,
Count,4
Flags,
Remarks,
Name,Gate,Source,Drain,VgStart,VgStop,VgStep,Vs,VdStart,VdStop,VdStep,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
Value,"SMU1:HP	HPSMU","SMU3:HR	HRSMU","SMU4:HR	HRSMU",0,1,0.05,0,5,5,0.2,0.01,MEDIUM,0,0,1nA
Name,Polarity,Lg,Wg,Temp,IdMax
Value,1,1E-06,1E-05,25,0.01
Vgate,Idrain,Isource,Igate,Rds,Vdrain
0,7.62E-11,-1.58E-11,-3.37E-11,1312335958005.25,5
0.05,5.64E-11,-4.2071E-09,4.1546E-09,1773049645390.07,5
0.1,7.48E-11,-8.3553E-09,8.4012E-09,1336898395721.93,5
0.15,4.58E-11,-1.2586E-08,1.25351E-08,2183406113537.12,5
0.2,1.243E-10,-1.67736E-08,1.6784E-08,804505229283.99,5
0.25,4.975E-10,-2.13971E-08,2.09091E-08,201005025125.628,5
0.3,3.3554E-09,-2.84019E-08,2.51581E-08,29802706085.7126,5
0.35,2.31748E-08,-5.25261E-08,2.93554E-08,4315031844.93502,5
0.4,1.61437E-07,-1.95208E-07,3.38611E-08,619436684.279316,5
0.45,1.092745E-06,-1.132493E-06,3.99586E-08,91512658.4884854,5
0.5,6.27945E-06,-6.33354E-06,5.4594E-08,15924961.5810302,5
0.55,2.30528E-05,-2.3146E-05,9.1663E-08,4337867.85119378,5
0.6,5.22771E-05,-5.24281E-05,1.51996E-07,1912883.46140088,5
0.65,8.8999E-05,-8.92236E-05,2.25696E-07,1123608.13042843,5
0.7,0.000129876,-0.000130155,3.06576E-07,769965.19757307,5
0.75,0.000172963,-0.000173322,3.91349E-07,578158.33444147,5
0.8,0.000217528,-0.000217975,4.7869E-07,459710.933764849,5
0.85,0.000263184,-0.000263724,5.67854E-07,379962.307739072,5
0.9,0.000309505,-0.000310131,6.58332E-07,323096.557406181,5
0.95,0.00035639,-0.00035711,7.49755E-07,280591.486854289,5
1,0.00040372,-0.000404526,8.42194E-07,247696.423263648,5
